step,mloss,gloss,loss
100.0,0.0,1.0,1.0
200.0,0.0,0.9998,0.9998
300.0,0.0,0.9991,0.9991
400.0,0.0,0.9977,0.9977
500.0,0.0,0.9968,0.9968
600.0,0.0,0.9959,0.9959
700.0,0.0,0.9953,0.9953
800.0,0.0,0.9947,0.9947
900.0,0.0,0.994,0.994
1000.0,0.0,0.9935,0.9935
1100.0,0.0,0.9931,0.9931
1200.0,0.0,0.9927,0.9927
1300.0,0.0,0.9922,0.9922
1400.0,0.0,0.9917,0.9917
1500.0,0.0,0.9913,0.9913
1600.0,0.0,0.9909,0.9909
1700.0,0.0,0.9907,0.9907
1800.0,0.0,0.9902,0.9902
1900.0,0.0,0.9899,0.9899
2000.0,0.0,0.9895,0.9895
2100.0,0.0,0.9892,0.9892
2200.0,0.0,0.9889,0.9889
2300.0,0.0,0.9886,0.9886
2400.0,0.0,0.9885,0.9885
2500.0,0.0,0.9884,0.9884
2600.0,0.0,0.9883,0.9883
2700.0,0.0,0.9879,0.9879
2800.0,0.0,0.9877,0.9877
2900.0,0.0,0.9876,0.9876
3000.0,0.0,0.9873,0.9873
3100.0,0.0,0.987,0.987
3200.0,0.0,0.9871,0.9871
3300.0,0.0,0.9867,0.9867
3400.0,0.0,0.9868,0.9868
3500.0,0.0,0.9866,0.9866
3600.0,0.0,0.9865,0.9865
3700.0,0.0,0.9863,0.9863
3800.0,0.0,0.9863,0.9863
3900.0,0.0,0.9864,0.9864
4000.0,0.0,0.9861,0.9861
4100.0,0.0,0.986,0.986
4200.0,0.0,0.9859,0.9859
4300.0,0.0,0.9859,0.9859
4400.0,0.0,0.9859,0.9859
4500.0,0.0,0.9858,0.9858
4600.0,0.0,0.9858,0.9858
4700.0,0.0,0.9857,0.9857
4800.0,0.0,0.9858,0.9858
4900.0,0.0,0.9856,0.9856
5000.0,0.0,0.9858,0.9858
