step,mloss,gloss,loss
100.0,0.0,1.002,1.002
200.0,0.0,1.0008,1.0008
300.0,0.0,1.0,1.0
400.0,0.0,0.9999,0.9999
500.0,0.0,0.9999,0.9999
600.0,0.0,0.9997,0.9997
700.0,0.0,0.9991,0.9991
800.0,0.0,0.9986,0.9986
900.0,0.0,0.9982,0.9982
1000.0,0.0,0.9974,0.9974
1100.0,0.0,0.9972,0.9972
1200.0,0.0,0.9971,0.9971
1300.0,0.0,0.9964,0.9964
1400.0,0.0,0.996,0.996
1500.0,0.0,0.9952,0.9952
1600.0,0.0,0.9951,0.9951
1700.0,0.0,0.9946,0.9946
1800.0,0.0,0.9943,0.9943
1900.0,0.0,0.9941,0.9941
2000.0,0.0,0.9939,0.9939
2100.0,0.0,0.9931,0.9931
2200.0,0.0,0.9928,0.9928
2300.0,0.0,0.9928,0.9928
2400.0,0.0,0.9926,0.9926
2500.0,0.0,0.9921,0.9921
2600.0,0.0,0.992,0.992
2700.0,0.0,0.9916,0.9916
2800.0,0.0,0.9912,0.9912
2900.0,0.0,0.991,0.991
3000.0,0.0,0.9911,0.9911
3100.0,0.0,0.9904,0.9904
3200.0,0.0,0.9905,0.9905
3300.0,0.0,0.9901,0.9901
3400.0,0.0,0.9901,0.9901
3500.0,0.0,0.9898,0.9898
3600.0,0.0,0.9894,0.9894
3700.0,0.0,0.9894,0.9894
3800.0,0.0,0.9892,0.9892
3900.0,0.0,0.9886,0.9886
4000.0,0.0,0.9888,0.9888
4100.0,0.0,0.9888,0.9888
4200.0,0.0,0.9887,0.9887
4300.0,0.0,0.9881,0.9881
4400.0,0.0,0.9879,0.9879
4500.0,0.0,0.9879,0.9879
4600.0,0.0,0.988,0.988
4700.0,0.0,0.9878,0.9878
4800.0,0.0,0.9873,0.9873
4900.0,0.0,0.9869,0.9869
5000.0,0.0,0.9875,0.9875
5100.0,0.0,0.9868,0.9868
5200.0,0.0,0.9872,0.9872
5300.0,0.0,0.9868,0.9868
5400.0,0.0,0.9867,0.9867
5500.0,0.0,0.9864,0.9864
5600.0,0.0,0.9866,0.9866
5700.0,0.0,0.9863,0.9863
5800.0,0.0,0.9858,0.9858
5900.0,0.0,0.9864,0.9864
6000.0,0.0,0.9859,0.9859
6100.0,0.0,0.9855,0.9855
