step,mloss,gloss,loss
100.0,0.0,1.0001,1.0001
200.0,0.0,0.9997,0.9997
300.0,0.0,1.0001,1.0001
400.0,0.0,1.0,1.0
500.0,0.0,1.0002,1.0002
600.0,0.0,0.9999,0.9999
700.0,0.0,0.9999,0.9999
800.0,0.0,1.0,1.0
900.0,0.0,0.9996,0.9996
1000.0,0.0,0.9997,0.9997
1100.0,0.0,0.9997,0.9997
1200.0,0.0,0.9997,0.9997
1300.0,0.0,0.9999,0.9999
1400.0,0.0,0.9996,0.9996
1500.0,0.0,0.9992,0.9992
1600.0,0.0,0.9992,0.9992
1700.0,0.0,0.9984,0.9984
1800.0,0.0,0.9989,0.9989
1900.0,0.0,0.9984,0.9984
2000.0,0.0,0.9981,0.9981
2100.0,0.0,0.9978,0.9978
2200.0,0.0,0.9976,0.9976
2300.0,0.0,0.9972,0.9972
2400.0,0.0,0.9964,0.9964
2500.0,0.0,0.9965,0.9965
2600.0,0.0,0.9959,0.9959
2700.0,0.0,0.9956,0.9956
2800.0,0.0,0.9953,0.9953
2900.0,0.0,0.9949,0.9949
3000.0,0.0,0.9942,0.9942
3100.0,0.0,0.9942,0.9942
3200.0,0.0,0.9942,0.9942
3300.0,0.0,0.9939,0.9939
3400.0,0.0,0.9938,0.9938
3500.0,0.0,0.9933,0.9933
3600.0,0.0,0.9923,0.9923
3700.0,0.0,0.9926,0.9926
3800.0,0.0,0.9924,0.9924
3900.0,0.0,0.992,0.992
4000.0,0.0,0.9923,0.9923
4100.0,0.0,0.9918,0.9918
4200.0,0.0,0.9911,0.9911
4300.0,0.0,0.9913,0.9913
4400.0,0.0,0.9909,0.9909
4500.0,0.0,0.9907,0.9907
4600.0,0.0,0.9906,0.9906
4700.0,0.0,0.9901,0.9901
4800.0,0.0,0.9903,0.9903
4900.0,0.0,0.9897,0.9897
5000.0,0.0,0.9899,0.9899
5100.0,0.0,0.9892,0.9892
5200.0,0.0,0.9892,0.9892
5300.0,0.0,0.9889,0.9889
5400.0,0.0,0.9888,0.9888
5500.0,0.0,0.9888,0.9888
5600.0,0.0,0.9881,0.9881
5700.0,0.0,0.9882,0.9882
5800.0,0.0,0.9882,0.9882
5900.0,0.0,0.9876,0.9876
6000.0,0.0,0.9877,0.9877
6100.0,0.0,0.9878,0.9878
6200.0,0.0,0.9877,0.9877
6300.0,0.0,0.9871,0.9871
6400.0,0.0,0.9874,0.9874
6500.0,0.0,0.9871,0.9871
6600.0,0.0,0.9868,0.9868
6700.0,0.0,0.9867,0.9867
6800.0,0.0,0.9864,0.9864
6900.0,0.0,0.9869,0.9869
7000.0,0.0,0.9862,0.9862
7100.0,0.0,0.9861,0.9861
7200.0,0.0,0.9865,0.9865
7300.0,0.0,0.9861,0.9861
7400.0,0.0,0.9857,0.9857
7500.0,0.0,0.9859,0.9859
7600.0,0.0,0.9856,0.9856
7700.0,0.0,0.9856,0.9856
7800.0,0.0,0.9857,0.9857
7900.0,0.0,0.9855,0.9855
8000.0,0.0,0.9848,0.9848
8100.0,0.0,0.9853,0.9853
8200.0,0.0,0.9846,0.9846
8300.0,0.0,0.9847,0.9847
8400.0,0.0,0.9844,0.9844
8500.0,0.0,0.9845,0.9845
8600.0,0.0,0.9843,0.9843
8700.0,0.0,0.9843,0.9843
8800.0,0.0,0.9842,0.9842
8900.0,0.0,0.984,0.984
9000.0,0.0,0.984,0.984
9100.0,0.0,0.9839,0.9839
9200.0,0.0,0.9838,0.9838
9300.0,0.0,0.9835,0.9835
9400.0,0.0,0.9831,0.9831
9500.0,0.0,0.9838,0.9838
9600.0,0.0,0.9833,0.9833
9700.0,0.0,0.9835,0.9835
9800.0,0.0,0.9831,0.9831
9900.0,0.0,0.9832,0.9832
10000.0,0.0,0.9831,0.9831
10100.0,0.0,0.9832,0.9832
10200.0,0.0,0.9828,0.9828
10300.0,0.0,0.9827,0.9827
10400.0,0.0,0.9826,0.9826
10500.0,0.0,0.9825,0.9825
10600.0,0.0,0.9822,0.9822
10700.0,0.0,0.9822,0.9822
10800.0,0.0,0.9826,0.9826
10900.0,0.0,0.9824,0.9824
11000.0,0.0,0.9819,0.9819
11100.0,0.0,0.9823,0.9823
11200.0,0.0,0.9822,0.9822
11300.0,0.0,0.9818,0.9818
11400.0,0.0,0.9814,0.9814
11500.0,0.0,0.9815,0.9815
11600.0,0.0,0.9813,0.9813
11700.0,0.0,0.9815,0.9815
11800.0,0.0,0.9816,0.9816
11900.0,0.0,0.9813,0.9813
12000.0,0.0,0.9811,0.9811
12100.0,0.0,0.9813,0.9813
12200.0,0.0,0.9807,0.9807
12300.0,0.0,0.9808,0.9808
12400.0,0.0,0.9806,0.9806
12500.0,0.0,0.9806,0.9806
12600.0,0.0,0.9807,0.9807
12700.0,0.0,0.9812,0.9812
12800.0,0.0,0.9805,0.9805
12900.0,0.0,0.9808,0.9808
13000.0,0.0,0.9804,0.9804
13100.0,0.0,0.9801,0.9801
13200.0,0.0,0.9801,0.9801
13300.0,0.0,0.9801,0.9801
13400.0,0.0,0.9804,0.9804
13500.0,0.0,0.9801,0.9801
13600.0,0.0,0.9801,0.9801
13700.0,0.0,0.9795,0.9795
13800.0,0.0,0.9796,0.9796
13900.0,0.0,0.9804,0.9804
14000.0,0.0,0.9796,0.9796
14100.0,0.0,0.9799,0.9799
14200.0,0.0,0.9793,0.9793
14300.0,0.0,0.9795,0.9795
14400.0,0.0,0.979,0.979
14500.0,0.0,0.9794,0.9794
14600.0,0.0,0.9793,0.9793
14700.0,0.0,0.9794,0.9794
14800.0,0.0,0.9794,0.9794
14900.0,0.0,0.9795,0.9795
15000.0,0.0,0.9792,0.9792
15100.0,0.0,0.979,0.979
15200.0,0.0,0.9789,0.9789
15300.0,0.0,0.979,0.979
15400.0,0.0,0.979,0.979
15500.0,0.0,0.9786,0.9786
15600.0,0.0,0.9789,0.9789
